OBJECTID,COUNTY,CREATIONDATE,EDITDATE,COUNTYLABEL,Shape_Length,Shape_Area
1,PEND OREILLE,,2016/12/20 16:37:02+00,Pend Oreille,983603.315107479,39742587765.0442
2,STEVENS,,2016/12/20 16:37:02+00,Stevens,1603671.79727996,70747378950.7722
3,FERRY,,2016/12/20 16:37:02+00,Ferry,1291761.46133311,62927149369.1177
4,WHATCOM,,2016/12/20 16:37:02+00,Whatcom,1718318.34729061,60292476590.6509
5,OKANOGAN,,2016/12/20 16:37:02+00,Okanogan,2047256.64219013,148089984996.499
6,SAN JUAN,,2016/12/20 16:37:02+00,San Juan,1882845.34019754,4904646920.08338
7,SKAGIT,,2016/12/20 16:37:02+00,Skagit,2013182.03211403,48374913243.9824
8,CLALLAM,,2016/12/20 16:37:02+00,Clallam,1542141.47773814,49181619873.1522
9,ISLAND,,2016/12/20 16:37:02+00,Island,1048698.26472014,5870272405.89276
10,DOUGLAS,,2016/12/20 16:37:02+00,Douglas,1339691.69767236,51535658432.8334
11,SPOKANE,,2016/12/20 16:37:02+00,Spokane,1020199.04563589,49706632178.6577
12,GRANT,,2016/12/20 16:37:02+00,Grant,1484319.0219737,77832688246.0421
13,LINCOLN,,2016/12/20 16:37:02+00,Lincoln,1170140.43111506,65213872194.931
14,KITTITAS,,2016/12/20 16:37:02+00,Kittitas,1428467.3211829,65045308408.7668
15,GRAYS HARBOR,,2016/12/20 16:37:02+00,Grays Harbor,1547138.41628036,53733528161.571
16,WHITMAN,,2016/12/20 16:37:02+00,Whitman,1287931.08570628,60727031338.5333
17,ADAMS,,2016/12/20 16:37:02+00,Adams,1088901.81073319,53816362471.6759
18,THURSTON,,2016/12/20 16:37:02+00,Thurston,1231069.84258693,20534184673.9056
19,YAKIMA,,2016/12/20 16:37:02+00,Yakima,1704901.40363403,120280976966.508
20,PACIFIC,,2016/12/20 16:37:02+00,Pacific,1304383.57361906,26663111817.7113
21,LEWIS,,2016/12/20 16:37:02+00,Lewis,1398485.06639156,67950167808.8913
22,FRANKLIN,,2016/12/20 16:37:02+00,Franklin,962974.48750922,35290331770.5769
23,GARFIELD,,2016/12/20 16:37:02+00,Garfield,805356.608378449,20037722190.6916
24,BENTON,,2016/12/20 16:37:02+00,Benton,998389.510438239,49107394596.243
25,COLUMBIA,,2016/12/20 16:37:02+00,Columbia,796659.213442451,24378346251.5581
26,WALLA WALLA,,2016/12/20 16:37:02+00,Walla Walla,927850.563227565,36246189018.2623
27,ASOTIN,,2016/12/20 16:37:02+00,Asotin,637079.650846156,17871352958.9979
28,WAHKIAKUM,,2016/12/20 16:37:02+00,Wahkiakum,416447.290740954,7985814145.98683
29,COWLITZ,,2016/12/20 16:37:02+00,Cowlitz,873114.601689796,32545871942.6075
30,SKAMANIA,,2016/12/20 16:37:02+00,Skamania,998258.357080054,47049741318.2188
31,CLARK,,2016/12/20 16:37:02+00,Clark,645792.733097897,18312145094.0387
32,KLICKITAT,,2016/12/20 16:37:02+00,Klickitat,1157519.90358983,53170184616.1824
33,JEFFERSON,,2016/12/20 16:37:02+00,Jefferson,2013594.01901866,50669467529.8453
34,MASON,,2016/12/20 16:37:02+00,Mason,1682322.4435409,27147633862.2675
35,KITSAP,,2016/12/20 16:37:02+00,Kitsap,1500102.52025895,11036472590.7817
36,SNOHOMISH,,2016/12/20 16:37:02+00,Snohomish,1316131.49749661,58673647680.0842
37,CHELAN,,2016/12/20 16:37:02+00,Chelan,1792174.62183633,83477316029.7752
38,KING,,2016/12/20 16:37:02+00,King,1700953.58629145,61018561442.0618
39,PIERCE,,2016/12/20 16:37:02+00,Pierce,2251015.65647831,47111695149.2263
